0 -0.999996 -0.999896 -0.999996 19998 9.02316e-10 3.00386e-06
1 -0.999996 -1.00005 -0.999996 20001 2.16966e-10 1.47298e-06
2 -1 -1.00005 -0.999997 20001 7.29424e-10 2.70078e-06
3 -1.00002 -0.999921 -1 19998 7.73468e-08 2.78113e-05
4 -0.999993 -0.999943 -1 19999 7.71824e-08 2.77817e-05
5 -1.00001 -0.999907 -1 19998 6.71926e-09 8.19711e-06
6 -0.999976 -0.999826 -0.999999 19997 4.03852e-08 2.00961e-05
7 -0.999983 -0.999933 -0.999997 19999 7.61369e-09 8.72564e-06
8 -0.99995 -0.9999 -0.999991 19999 7.65791e-08 2.76729e-05
9 -0.999977 -0.999927 -0.99999 19999 3.97672e-08 1.99417e-05
